,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Florida Gulf Coast T,A-Sun,26,7,.788,12,2,.857,76.4,70.4,2.39,-3.68,,,
2,Lipscomb,A-Sun,20,13,.606,11,3,.786,82.8,79.9,-1.23,-4.13,,,
3,North Florida,A-Sun,15,19,.441,8,6,.571,73.5,79.6,-7.46,-1.32,,,
4,South Carolina Upstate,A-Sun,17,15,.531,7,7,.500,76.6,78.3,-6.90,-5.19,,,
5,Kennesaw State,A-Sun,14,18,.438,7,7,.500,74.4,76.9,-8.06,-5.59,,,
6,Jacksonville,A-Sun,17,15,.531,5,9,.357,74.5,76.3,-9.83,-8.08,,,
7,NJIT,A-Sun,11,20,.355,3,11,.214,71.1,77.0,-9.67,-3.77,,,
8,Stetson,A-Sun,11,21,.344,3,11,.214,75.8,84.5,-13.93,-5.17,,,
