,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Princeton,Ivy,21,6,.778,14,0,1.000,70.8,62.1,6.40,-2.29,,,
2,Harvard,Ivy,18,9,.667,10,4,.714,71.7,66.9,2.92,-1.88,,,
3,Yale,Ivy,17,10,.630,9,5,.643,73.7,70.8,0.73,-2.23,,,
4,Pennsylvania,Ivy,13,14,.481,6,8,.429,69.0,67.9,-0.18,-1.36,,,
5,Columbia,Ivy,11,16,.407,5,9,.357,71.4,73.9,-5.25,-2.72,,,
6,Brown,Ivy,13,17,.433,4,10,.286,74.9,79.3,-8.18,-3.72,,,
7,Cornell,Ivy,8,21,.276,4,10,.286,70.5,77.4,-8.10,-1.25,,,
8,Dartmouth,Ivy,7,20,.259,4,10,.286,67.1,74.8,-10.85,-3.14,,,
