,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Cal State Bakersfield,WAC,21,8,.724,12,2,.857,68.7,62.5,2.41,-3.74,,,
2,New Mexico State,WAC,25,5,.833,11,3,.786,78.1,69.2,4.43,-4.42,,,
3,Grand Canyon,WAC,22,9,.710,11,3,.786,72.3,68.2,-0.15,-4.22,,,
4,Missouri-Kansas City,WAC,16,15,.516,8,6,.571,75.5,79.4,-4.88,-0.95,,,
5,Utah Valley,WAC,14,15,.483,6,8,.429,76.3,76.2,-2.57,-2.65,,,
6,Seattle,WAC,13,16,.448,5,9,.357,68.8,73.0,-8.26,-4.14,,,
7,Texas-Rio Grande Valley,WAC,10,21,.323,2,12,.143,76.7,84.6,-11.65,-3.76,,,
8,Chicago State,WAC,6,25,.194,1,13,.071,62.8,79.4,-16.99,-0.42,,,
