"","team_id","team_name","team_minutes","team_fgm","team_fga","team_fgpct","team_three_fgm","team_three_fga","team_three_fgpct","team_ft","team_fta","team_ftpct","team_pts","team_ptsavg","team_offreb","team_defreb","team_totreb","team_rebavg","team_ast","team_to","team_stl","team_blk","team_fouls","team_dbldbl","team_trpdbl","opp_team_minutes","opp_team_fgm","opp_team_fga","opp_team_fgpct","opp_team_three_fgm","opp_team_three_fga","opp_team_three_fgpct","opp_team_ft","opp_team_fta","opp_team_ftpct","opp_team_pts","opp_team_ptsavg","opp_team_offreb","opp_team_defreb","opp_team_totreb","opp_team_rebavg","opp_team_ast","opp_team_to","opp_team_stl","opp_team_blk","opp_team_fouls","opp_team_dbldbl","opp_team_trpdbl","team_ast_to","team_home_avg_ptsdiff","team_away_avg_ptsdiff","team_avg_ptsdiff","team_home_wins","team_home_losses","team_away_wins","team_away_losses","team_wins","team_losses","winpct","C_points","F_points","G_points","Jr","C_avg_height","F_avg_height","G_avg_height","opp_home_avg_ptsdiff","opp_home_wins","opp_home_losses","opp_away_avg_ptsdiff","opp_away_wins","opp_away_losses","opp_avg_ptsdiff","opp_wins","opp_losses"
"1",771,"Western Ill.",6223.98333333333,818,1860,43.98,241,626,38.5,321,440,72.95,2198,70.9,256,844,1100,35.48,319,354,165,132,487,5,31,747059,828,1872,44.23,276,717,38.49,340,504,67.46,2272,73.29,287,862,1149,37.06,385,331,181,89,468,5,0,0.901129943502825,9.66666666666667,-9.83333333333333,-0.0833333333333339,7,5,3,15,10,20,0.333333333333333,343,324,1531,0,82.5,79.3333333333333,74,-9.66666666666667,7,5,9.9375,3,15,-0.741666666666667,10,20
"2",234,"Florida St.",6899.98333333333,879,1984,44.3,255,760,33.55,534,721,74.06,2547,74.91,389,882,1271,37.38,438,459,237,145,651,9,34,828763,774,1891,40.93,239,734,32.56,495,683,72.47,2282,67.12,325,787,1112,32.71,342,486,187,102,631,9,0,0.954248366013072,10.5714285714286,3.30769230769231,6.93956043956044,19,2,8,5,27,7,0.794117647058823,224,750,1573,0,88,79.8333333333333,76.2222222222222,-10.825,19,2,-3.70833333333333,8,5,-8,27,7
"3",772,"Western Ky.",6899.98333333333,853,1910,44.66,199,608,32.73,524,724,72.38,2429,71.44,345,910,1255,36.91,417,466,235,174,529,5,34,827569,855,2040,41.91,287,832,34.5,358,522,68.58,2355,69.26,355,821,1176,34.59,445,440,201,125,617,5,0,0.894849785407725,5.11764705882353,-1.3125,1.90257352941176,12,5,7,9,19,14,0.575757575757576,495,667,1267,0,83,79.5,75.6666666666667,NA,12,5,0.880952380952381,7,9,NA,19,14
"4",774,"Western Mich.",6499.98333333333,774,1822,42.48,228,723,31.54,470,680,69.12,2246,70.19,345,852,1197,37.41,374,490,147,78,564,9,32,779939,878,1964,44.7,278,759,36.63,405,581,69.71,2439,76.22,322,807,1129,35.28,444,353,253,108,593,9,0,0.763265306122449,0.0666666666666667,-11.4117647058824,-5.67254901960784,6,9,2,15,8,24,0.25,530,439,1277,0,84,77.5,73.7142857142857,-0.0666666666666667,6,9,11.03125,2,15,3.60416666666667,8,24
"5",460,"UNCW",6674.98333333333,880,1986,44.31,260,744,34.95,493,673,73.25,2515,76.21,393,829,1222,37.03,495,437,150,68,585,18,33,801000,938,1984,47.28,330,854,38.64,464,634,73.19,2670,80.91,303,808,1111,33.67,455,343,210,77,602,18,0,1.13272311212815,0.125,-9.23529411764706,-4.55514705882353,6,10,4,13,10,23,0.303030303030303,0,1069,1444,0,84,79.75,75,-0.125,6,10,9.2,4,13,4.60606060606061,10,23
"6",463,"Nebraska",6824.98333333333,862,2016,42.76,258,762,33.86,452,650,69.54,2434,71.59,357,847,1204,35.41,431,330,249,147,548,28,34,819000,820,1966,41.71,215,658,32.67,402,572,70.28,2257,66.38,396,902,1298,38.18,389,454,167,126,593,28,0,1.30606060606061,13.4,-6.5,3.45,14,6,4,10,18,16,0.529411764705882,0,814,1620,0,0,81,75.625,-13.4,14,6,7.83333333333333,4,10,-9.3125,18,16
"7",465,"UNLV",6249.98333333333,791,1852,42.71,251,745,33.69,443,647,68.47,2276,73.42,411,792,1203,38.81,399,402,184,115,556,20,31,749914,813,1810,44.92,220,617,35.66,396,572,69.23,2242,72.32,303,747,1050,33.87,402,381,196,76,585,20,0,0.992537313432836,4.44444444444444,-3.53846153846154,0.452991452991453,11,7,6,7,17,14,0.548387096774194,0,964,1312,0,0,80.125,75.1666666666667,-4.44444444444444,11,7,2.79166666666667,6,7,-0.742424242424242,17,14
"8",464,"Omaha",6447.98333333333,950,1998,47.55,282,719,39.22,341,473,72.09,2523,78.84,273,774,1047,32.72,409,304,180,61,486,6,32,773880,890,1896,46.94,302,834,36.21,372,499,74.55,2454,76.69,260,823,1083,33.84,432,389,148,110,493,6,0,1.34539473684211,7.8,-2.82352941176471,2.48823529411765,12,3,9,8,21,11,0.65625,85,916,1522,0,81,80.75,73.5714285714286,-8.5,12,3,2.82352941176471,9,8,-1,21,11
"9",466,"Nevada",6600,905,1944,46.55,292,831,35.14,560,791,70.8,2662,80.67,307,926,1233,37.36,494,338,204,129,563,5,33,791939,791,1933,40.92,258,773,33.38,358,533,67.17,2200,66.67,303,852,1155,35,412,451,150,80,698,5,0,1.46153846153846,18.8947368421053,7.35714285714286,13.1259398496241,18,1,11,3,29,4,0.878787878787879,0,2193,469,0,0,80.3333333333333,74.2,-19.7352941176471,18,1,-7.35714285714286,11,3,-15.6449275362319,29,4
"10",469,"New Hampshire",5799.98333333333,623,1656,37.62,261,787,33.16,235,385,61.04,1742,60.07,260,727,987,34.03,325,356,116,53,533,6,29,696000,688,1552,44.33,198,595,33.28,416,596,69.8,1990,68.62,226,854,1080,37.24,288,339,156,75,453,6,0,0.912921348314607,-1.21428571428571,-15.4,-8.30714285714286,4,10,1,14,5,24,0.172413793103448,0,736,1006,0,0,78.5,73.875,1.21428571428571,4,10,15.4,1,14,7.73809523809524,5,24
"11",14927,"Belmont",6251,987,1976,49.95,325,871,37.31,411,557,73.79,2710,87.42,277,928,1205,38.87,616,361,212,117,482,8,31,750120,837,1971,42.47,240,700,34.29,376,536,70.15,2290,73.87,288,798,1086,35.03,377,387,190,111,512,8,0,1.70637119113573,15.1428571428571,11.1333333333333,13.1380952380952,12,2,12,3,24,5,0.827586206896552,594,877,1239,0,83,80.3333333333333,74,NA,12,2,-11.1333333333333,12,3,NA,24,5
"12",663,"SMU",6400,833,1884,44.21,263,772,34.07,374,523,71.51,2303,71.97,375,766,1141,35.66,441,351,189,123,515,28,32,768000,793,1853,42.8,267,761,35.09,396,547,72.39,2249,70.28,354,747,1101,34.41,493,371,155,86,502,28,0,1.25641025641026,6.85,-6.91666666666667,-0.0333333333333337,11,9,4,8,15,17,0.46875,0,1024,1279,0,0,80.5,75.8571428571429,-6.85,11,9,6.95454545454545,4,8,-3.46376811594203,15,17
"13",368,"UMass Lowell",6450,875,1852,47.25,246,721,34.12,460,639,71.99,2456,76.75,296,819,1115,34.84,500,447,181,85,591,17,32,774000,879,1946,45.17,215,692,31.07,447,632,70.73,2420,75.62,345,780,1125,35.16,411,419,230,111,616,17,0,1.11856823266219,7.42857142857143,-3.77777777777778,1.82539682539683,9,5,6,12,15,17,0.46875,0,1338,1118,0,0,79.1666666666667,74.2,-7.42857142857143,9,5,4.5,6,12,-1.8030303030303,15,17
