team_id	team_name	team_minutes	team_fgm	team_fga	team_fgpct	team_three_fgm	team_three_fga	team_three_fgpct	team_ft	team_fta	team_ftpct	team_pts	team_ptsavg	team_offreb	team_defreb	team_totreb	team_rebavg	team_ast	team_to	team_stl	team_blk	team_fouls	team_dbldbl	team_trpdbl	opp_team_minutes	opp_team_fgm	opp_team_fga	opp_team_fgpct	opp_team_three_fgm	opp_team_three_fga	opp_team_three_fgpct	opp_team_ft	opp_team_fta	opp_team_ftpct	opp_team_pts	opp_team_ptsavg	opp_team_offreb	opp_team_defreb	opp_team_totreb	opp_team_rebavg	opp_team_ast	opp_team_to	opp_team_stl	opp_team_blk	opp_team_fouls	opp_team_dbldbl	opp_team_trpdbl
817	Youngstown St.	32	6525:00	879	2,057	42.73	303	891	34.01	354	505	70.10	2,415	75.47	422	785	1,207	37.72	449	423	210	115	656	9	32	6525:00	880	1,898	46.36	250	732	34.15	516	703	73.40	2,526	78.94	320	818	1,138	35.56	451	390	188	107	502	9
657	Southern California	33	6699:37	937	2,039	45.95	281	735	38.23	363	563	64.48	2,518	76.30	324	861	1,185	35.91	536	392	202	117	590	26	33	6700:00	866	2,032	42.62	263	787	33.42	415	610	68.03	2,410	73.03	368	878	1,246	37.76	476	435	192	99	570	26
654	Southeast Mo. St.	31	6324:59	796	1,809	44.00	266	719	37.00	358	520	68.85	2,216	71.48	284	797	1,081	34.87	402	447	182	75	615	4	31	6325:00	842	1,854	45.42	248	774	32.04	446	618	72.17	2,378	76.71	315	820	1,135	36.61	458	390	186	114	495	4
655	Southeastern La.	33	6600:00	765	1,735	44.09	235	696	33.76	459	640	71.72	2,224	67.39	346	771	1,117	33.85	452	536	215	80	603	3	33	6601:00	768	1,737	44.21	201	610	32.95	491	669	73.39	2,228	67.52	303	719	1,022	30.97	357	483	232	121	637	3
650	South Dakota	30	6024:59	729	1,664	43.81	227	666	34.08	433	585	74.02	2,118	70.60	221	722	943	31.43	382	324	165	68	528	2	30	6025:00	751	1,670	44.97	218	611	35.68	416	558	74.55	2,136	71.20	248	774	1,022	34.07	337	367	152	109	568	2
651	South Fla.	32	6525:00	761	1,774	42.90	221	677	32.64	569	887	64.15	2,312	72.25	448	798	1,246	38.94	441	513	252	103	677	7	32	6524:59	714	1,682	42.45	206	641	32.14	510	743	68.64	2,144	67.00	286	727	1,013	31.66	420	494	223	134	735	7
371	Loyola Chicago	33	6600:00	805	1,632	49.33	201	549	36.61	359	539	66.60	2,170	65.76	187	799	986	29.88	448	394	212	73	457	4	33	6600:00	737	1,694	43.51	239	658	36.32	283	400	70.75	1,996	60.48	218	741	959	29.06	380	433	187	136	511	4
370	Loyola Marymount	31	6200:00	744	1,627	45.73	146	460	31.74	460	618	74.43	2,094	67.55	293	712	1,005	32.42	413	396	224	93	557	5	31	6200:00	660	1,563	42.23	211	665	31.73	420	554	75.81	1,951	62.94	250	656	906	29.23	439	440	181	112	589	5
659	Southern Ill.	32	6399:59	802	1,720	46.63	213	570	37.37	377	550	68.55	2,194	68.56	292	788	1,080	33.75	438	448	212	129	474	4	32	6399:59	781	1,830	42.68	254	724	35.08	328	469	69.94	2,144	67.00	325	722	1,047	32.72	398	407	202	99	528	4
440	Montana St.	32	6400:00	858	1,882	45.59	306	818	37.41	480	651	73.73	2,502	78.19	295	788	1,083	33.84	491	394	169	46	567	3	32	6400:00	923	1,908	48.38	318	849	37.46	388	552	70.29	2,552	79.75	282	817	1,099	34.34	493	394	189	75	633	3
